var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,command,year
1.hci#1976.year,.26580808,.13059497,.0087233848566378,.5228927664762175,4719,.7507351537968199,l_m_n,reghdfe,1976
1.hci#1977.year,.3813079,.12901545,.1273326030803379,.6352831968235317,4719,.7507351537968199,l_m_n,reghdfe,1977
1.hci#1978.year,.44811404,.12326889,.2054512144656681,.6907768605617978,4719,.7507351537968199,l_m_n,reghdfe,1978
1.hci#1979.year,.45975062,.13114297,.2015871480079977,.7179140970138224,4719,.7507351537968199,l_m_n,reghdfe,1979
1.hci#1980.year,.33116528,.11940228,.0961141252284393,.5662164426083222,4719,.7507351537968199,l_m_n,reghdfe,1980
1.hci#1981.year,.31574371,.12872501,.0623401648432637,.5691472642987345,4719,.7507351537968199,l_m_n,reghdfe,1981
1.hci#1982.year,.32160953,.12725787,.0710941347709994,.5721249189742703,4719,.7507351537968199,l_m_n,reghdfe,1982
1.hci#1983.year,.33894879,.12132642,.1001098430747932,.5777877294426018,4719,.7507351537968199,l_m_n,reghdfe,1983
1.hci#1984.year,.37761757,.11513683,.1509632247491144,.6042719108061529,4719,.7507351537968199,l_m_n,reghdfe,1984
1.hci#1985.year,.33482113,.12539308,.0879767049210364,.5816655646903222,4719,.7507351537968199,l_m_n,reghdfe,1985
1.hci#1986.year,.36068347,.12086013,.122762444338206,.5986044975906575,4719,.7507351537968199,l_m_n,reghdfe,1986
1.hci#1970.year,-.11232526,.13729461,-.3826617653172911,.1580112482112349,4220,.8963550707229831,l_stock_tot,reghdfe,1970
1.hci#1971.year,-.029155012,.10261097,-.2311985709135637,.1728885464732752,4220,.8963550707229831,l_stock_tot,reghdfe,1971
1o.hci#1972b.year,0,0,0,0,4220,.8963550707229831,l_stock_tot,reghdfe,1972
1.hci#1973.year,.030674536,.023701897,-.0159950911261101,.0773441626884003,4220,.8963550707229831,l_stock_tot,reghdfe,1973
1.hci#1974.year,.10583214,.050977375,.0054564194334153,.2062078698026534,4220,.8963550707229831,l_stock_tot,reghdfe,1974
1.hci#1975.year,.070696384,.087210372,-.1010230169146001,.2424157843439519,4220,.8963550707229831,l_stock_tot,reghdfe,1975
